Year;Close/Last;Volume;Open;High;Low;;;;;;;;;;;;;wvg
2025;18,32;16135850;$19.04;$19.16;$18.31;;;;;;;;;;;;;
2024;12,9;11161410;$13.20;$13.24;$12.85;;;;;;;;;;;;;
2023;14,99;14032370;$14.90;$15.25;$14.7311;;;;;;;;;;;;;
2022;11,02;11302830;$10.58;$11.27;$10.56;;;;;;;;;;;;;
2021;42,73;3235341;$43.32;$44.0867;$42.64;;;;;;;;;;;;;
2020;49,13;3224147;$50.26;$50.30;$49.05;;;;;;;;;;;;;
2019;43,02;5500860;$43.00;$43.605;$42.7755;;;;;;;;;;;;;
